Name,State,District,Latitude,Longitude
Duluth Light Station,Minnesota,11th,46.78333333,92.075
Duluth North Pier Light Station,Minnesota,11th,46.78194444,92.08916667
Duluth Range Front Light Station,Minnesota,11th,46.78027778,92.08805556
Duluth Range Rear Light Station,Minnesota,11th,46.78,92.08888889
St. Louis River Pierhead Light Station,Minnesota,11th,46.70972222,92.0225
Two Harbors Light Station,Minnesota,11th,47.01388889,91.66361111
Two Harbors Breakwater Light Station,Minnesota,11th,47.0125,91.66916667
Alpena Light Station,Michigan,9th,45.06083333,83.42361111
Atlantic Point Light Station,Michigan,9th,47.12722222,88.44055556
Au Sable Pierhead - 1873,Michigan,11th,44.40777778,83.3125
Au Sable Pierhead - 1910,Michigan,11th,44.40722222,83.32111111
Belle Isle Light Station,Michigan,11th,42.34012778,82.96020833
Big Bay Point Light Station,Michigan,9th,46.84194444,87.67972222
Big Sable Light Station,Michigan,11th,46.67488889,86.14375
Birch Point Range Light Station,Michigan,9th,46.43408333,84.52347222
Brush Point Range Light Station,Michigan,9th,46.46472222,84.45544444
Brush Point Rear Range Light Station,Michigan,9th,46.46472222,84.45544444
Cedar Point Front Range Light Station,Michigan,11th,46.43855556,84.50252778
Cedar River Light Station,Michigan,9th,45.41027778,87.35305556
Charlevoix Pierhead Light Station,Michigan,9th,45.32388889,85.25805556
Cheboygan Crib Light Station,Michigan,9th,45.66333333,84.45944444
Cheboygan Light Station - 1910,Michigan,9th,45.66916667,84.41972222
Cheboygan River Front Range Light Station,Michigan,11th,45.64758611,84.47253889
Cheboygan River Rear Range Light Station,Michigan,11th,45.64501111,84.47489722
Cole Creek Light Station,Michigan,9th,47.12916667,88.62194444
Copper Harbor Front Range Light Station,Michigan,9th,47.46888889,87.86638889
Copper Harbor Light Station - 1910,Michigan,9th,47.47416667,87.86
Copper Harbor Rear Range Light Station,Michigan,9th,47.46888889,87.86638889
Crisp Point Light Station,Michigan,11th,46.75294444,85.25705556
Detour Reef Light Station - 1909,Michigan,9th,45.956025,83.91540556
Detroit River Light Station - 1885,Michigan,10th,42,83.13944444
Detroit River Light Station - 1909,Michigan,10th,42.0025,83.14194444
Eagle Harbor Front Range Light Station,Michigan,9th,47.45611111,88.15111111
Eagle Harbor Light Station - 1910,Michigan,9th,47.46111111,88.15861111
Eagle Harbor Rear Range Light Station,Michigan,9th,47.45611111,88.15111111
Ecorse Front Beacon Light Station,Michigan,10th,42.24583333,83.13
Ecorse Rear Beacon Light Station,Michigan,10th,42.2475,83.13027778
Fort Gratiot Light Station - 1912,Michigan,9th,43.00623333,82.42261667
Forty Mile Point Light Station,Michigan,9th,45.65305556,83.91333333
